13 - PC Wise Voters Turn Out,,,,,,,,,,,,,,
,,,, VOTERS ,,,,,,,,,,
,,,, EVM ,,,,, POSTAL VOTES ,,,Voters Turn Out(Excl. Postal)%,,
 State Name , PC NO. , PC NAME , ELECTORS , MALE , FEMALE , THIRD GENDER , TOTAL , NRI ,, TOTAL VOTERS , VOTER TURN OUT (%) , MALE , FEMALE , THIRD GENDER 
Assam,12,Jorhat,1365035,535678,518560,1,1054239,0,4581,1058820,77.56724187,77.22642385,77.23769776,14.28571429
Assam,13,Dibrugarh,1314319,514418,499258,1,1013677,0,2315,1015992,77.30178138,77.39193491,76.85633753,3.571428571
Assam,14,Lakhimpur,1708013,651081,628945,2,1280028,0,3922,1283950,75.17214447,74.82433982,75.06877928,4.761904762
Bihar,1,Valmiki Nagar,1665502,530289,499397,2,1029688,0,2543,1032231,61.97716965,59.26135773,64.8083574,2.083333333
Bihar,2,Paschim Champaran,1633824,524330,483548,5,1007883,0,5490,1013373,62.0246122,59.62598011,64.09737061,7.936507937
Bihar,3,Purvi Champaran,1658672,502773,490037,0,992810,0,7325,1000135,60.29733425,56.87985691,63.25302527,0
Bihar,4,Sheohar,1686215,500312,500529,0,1000841,0,4086,1004927,59.59661135,55.79536317,63.4017602,0
Bihar,5,Sitamarhi,1752454,504721,529645,1,1034367,0,5233,1039600,59.32252715,54.34698574,64.30095047,1.785714286
Bihar,6,Madhubani,1792798,454516,507776,2,962294,0,2412,964706,53.81007788,48.03730396,59.98010806,3.921568627
Bihar,7,Jhanjharpur,1852417,496451,562801,0,1059252,0,3139,1062391,57.35161144,51.15082689,63.82505072,0
Bihar,8,Supaul,1690620,529157,580683,0,1109840,0,1156,1110996,65.71529971,60.09480578,71.68448029,0
Bihar,9,Araria,1805439,575565,593532,1,1169098,0,643,1169741,64.78983782,60.5514345,69.43218415,1.587301587
Bihar,10,Kishanganj,1659651,537374,563614,3,1100991,0,665,1101656,66.37877481,62.55386714,70.40484277,5
Bihar,11,Katihar,1653353,554254,562770,0,1117024,0,1265,1118289,67.63764302,63.26421594,72.41161015,0
Bihar,12,Purnia,1765312,574694,578456,1,1153151,0,838,1153989,65.3702575,62.72404407,68.13091553,2
Bihar,13,Madhepura,1884883,552934,592789,0,1145723,0,1929,1147652,60.88717443,56.59381263,65.29735743,0
Bihar,14,Darbhanga,1654811,468623,493457,2,962082,0,3428,965510,58.34563585,53.48246669,63.37975165,9.523809524
Bihar,15,Muzaffarpur,1730553,532392,521572,0,1053964,0,4543,1058507,61.16582387,57.70361314,64.55985909,0
Bihar,16,Vaishali,1735983,536923,535176,2,1072101,0,2650,1074751,61.91022608,57.58406119,66.60402554,4.166666667
Bihar,17,Gopalganj (SC),1839514,476256,539136,2,1015394,0,10662,1026056,55.77864588,50.62454757,59.99198825,2.739726027
Bihar,18,Siwan,1799551,471597,510554,0,982151,0,2699,984850,54.72754037,49.96027307,59.67525136,0
Bihar,19,Maharajganj,1807768,467023,501866,2,968891,0,4098,972989,53.82266972,48.78304314,59.01723011,4.081632653
Bihar,20,Saran,1667253,479986,458722,0,938708,0,4907,943615,56.59698918,53.52804728,59.5336173,0
Bihar,21,Hajipur (SC),1823664,518835,485247,4,1004086,0,3594,1007680,55.25579273,52.71754427,57.80700145,6.779661017
Bihar,22,Ujiarpur,1612300,478018,488760,1,966779,0,3083,969862,60.15394157,55.52228474,65.05584373,1.694915254
